norm,loss,gamma,wd,epochs,lr,robust_ckpt,clean_auc_full,clean_auc_subset,worst_cell,worst_auc,max_delta,mean_degraded
none,focal,5.0,0.01,30,0.001,0.9924114363545707,0.9939136572869565,0.9922666079982841,crop_0.8,0.9911046644680763,0.0011619435302078207,0.9932669818354917
none,focal,2.0,0.01,30,0.001,0.992254446838596,0.9936749549983964,0.9919183566072133,crop_0.8,0.9905905790812575,0.0013277775259558089,0.9929965144852835
none,focal,10.0,0.01,30,0.001,0.9919603678861362,0.9936503720565463,0.9921096184823094,crop_0.8,0.9908901858335757,0.0012194326487336982,0.9930359987699856
none,focal,1.0,0.01,30,0.001,0.992257763518511,0.9935233620758039,0.9917458892516354,crop_0.8,0.9903329836078621,0.0014129056437732768,0.9928921180365318
none,ce,,0.01,30,0.001,0.9922854025178023,0.993232937187088,0.9915159327775315,crop_0.8,0.9899261375382937,0.0015897952392377457,0.992783615222171
none,focal,20.0,0.01,30,0.001,0.985755965325217,0.9887901558904688,0.9871931932883666,crop_0.8,0.9835525843017118,0.0036406089866548585,0.9876810216258586
