norm,loss,gamma,wd,epochs,lr,robust_ckpt,clean_auc_full,clean_auc_subset,worst_cell,worst_auc,max_delta,mean_degraded
none,ce,,0.01,30,0.001,0.9922854025178023,0.993232937187088,0.9915159327775315,crop_0.8,0.9899261375382937,0.0015897952392377457,0.992783615222171
standardize,ce,,0.01,30,0.001,0.9903816282466151,0.9916740189234123,0.9894717523899443,crop_0.8,0.9879129128299129,0.0015588395600314442,0.9909926080680923
l2,ce,,0.01,30,0.001,0.9835348953421653,0.9855872010683726,0.9836454513393307,crop_0.8,0.9762393050892241,0.0074061462501066044,0.9844709887638782
