norm,loss,gamma,wd,epochs,lr,robust_ckpt,clean_auc_full,clean_auc_subset,worst_cell,worst_auc,max_delta,mean_degraded
none,ce,,0.01,30,0.001,0.9922854025178023,0.993232937187088,0.9915159327775315,crop_0.8,0.9899261375382937,0.0015897952392377457,0.992783615222171
none,ce,,0.1,30,0.001,0.9922854025178023,0.9932231854632615,0.9914860826582969,crop_0.8,0.9898509594602214,0.001635123198075461,0.9927642679226671
none,ce,,0.3,30,0.001,0.9922743469180858,0.9932037725188458,0.9914893993382117,crop_0.8,0.9897724647022339,0.0017169346359777737,0.9927348916148488
none,ce,,1.0,30,0.001,0.9923229915568386,0.9931080427195191,0.9914683936987504,crop_0.8,0.989539191548215,0.0019292021505353807,0.9927243098265486
none,ce,,0.01,10,0.001,0.9907099795581962,0.9912401011518482,0.9895137636688671,crop_0.8,0.9866304632627949,0.002883300406072209,0.991096372768289
none,ce,,0.1,10,0.001,0.9906801294389614,0.9912040582375662,0.9894750690698592,crop_0.8,0.9865552851847225,0.0029197838851366953,0.9910509658408818
none,ce,,0.3,10,0.001,0.9905717845617394,0.9911264517115226,0.9893932576319568,crop_0.8,0.9864115623884077,0.0029816952435491872,0.9909391463466061
none,ce,,1.0,10,0.001,0.9901748885319159,0.990856028038265,0.9890052060819065,crop_0.8,0.9858853158419004,0.003119890240006029,0.9905609658677311
none,ce,,0.01,30,0.0001,0.9881937250627129,0.9893687430869668,0.9878609515112453,crop_0.8,0.9829478429972174,0.004913108514027931,0.9888158394524763
none,ce,,0.1,30,0.0001,0.9881749305431948,0.9893569550402996,0.9878399458717839,crop_0.8,0.9829190984379542,0.0049208474338297,0.9888001641914496
none,ce,,0.3,30,0.0001,0.9881273914644136,0.9893245096297028,0.9877924067930027,crop_0.8,0.9828649259993434,0.0049274807936593445,0.9887607983596017
none,ce,,1.0,30,0.0001,0.9880013576276452,0.9892374907669726,0.9876409450768863,crop_0.8,0.9826449195649842,0.004996025511902036,0.9886300264086689
none,ce,,0.01,5,0.001,0.9881627693835067,0.988784205302612,0.9870494704920516,crop_0.8,0.9823309405330347,0.004718529959016893,0.9886493737081731
none,ce,,0.1,5,0.001,0.9881218636645555,0.9887501082079332,0.9870030369732422,crop_0.8,0.9822513402150755,0.004751696758166668,0.9885965437352418
none,ce,,0.3,5,0.001,0.9880046743075601,0.9886696960815311,0.9869201199753681,crop_0.8,0.9821363619780239,0.004783757997344207,0.9884889095751443
none,ce,,1.0,5,0.001,0.9876486839966878,0.9883836605998274,0.986563024104524,crop_0.8,0.981663182310156,0.004899841794367976,0.9881178362675158
none,ce,,0.01,2,0.001,0.9847410612712392,0.9859892617003829,0.9846669887531385,crop_0.8,0.9765676564008052,0.008099332352333288,0.985652121656451
none,ce,,0.1,2,0.001,0.9847311112314944,0.9859874063840168,0.9846691998730818,crop_0.8,0.9765709730807203,0.008098226792361496,0.9856473835422869
none,ce,,0.3,2,0.001,0.9847277945515794,0.9859806186412141,0.9846459831136771,crop_0.8,0.9765543896811456,0.008091593432531519,0.9856311160169896
none,ce,,1.0,2,0.001,0.9846791499128266,0.9859500059211742,0.9846006551548393,crop_0.8,0.9765168006421092,0.008083854512730082,0.9855688887842994
none,ce,,1.0,1,0.001,0.9801098705499829,0.9839517849433115,0.9825575803272236,crop_0.8,0.9730453423311174,0.009512237996106232,0.9819591565082814
none,ce,,0.3,1,0.001,0.9801087649900114,0.9839370102898108,0.9825542636473086,crop_0.8,0.9730199144517695,0.009534349195539082,0.981970370045137
none,ce,,0.1,1,0.001,0.980106553870068,0.9839320326117555,0.9825476302874787,crop_0.8,0.9730088588520527,0.00953877143542603,0.9819733708507741
none,ce,,0.01,1,0.001,0.9801120816699264,0.983928231475786,0.9825487358474505,crop_0.8,0.9730132810919395,0.009535454755510986,0.981975503002148
none,ce,,0.01,10,0.0001,0.9773879818997722,0.9814069017859322,0.9799020252753121,crop_0.8,0.9697684625751366,0.010133562700175514,0.979473541817727
none,ce,,0.3,10,0.0001,0.9773691873802542,0.981405906250321,0.9798920752355671,crop_0.8,0.9697739903749949,0.010118084860572196,0.9794573532609991
none,ce,,0.1,10,0.0001,0.9773791374199989,0.9814054989857529,0.9799020252753121,crop_0.8,0.9697695681351083,0.010132457140203832,0.9794687247349934
none,ce,,1.0,10,0.0001,0.9773282816613027,0.9813988469978061,0.9798810196358505,crop_0.8,0.9697662514551932,0.010114768180657263,0.9794157368249233
none,ce,,1.0,5,0.0001,0.9668608398496881,0.9752900594818952,0.9743521142176117,jpeg_30,0.9504587521102376,0.02389336210737414,0.9707188493079115
none,ce,,0.3,5,0.0001,0.9668730010093763,0.9752847876683185,0.9743432697378386,jpeg_30,0.9506124249462975,0.023730844791541084,0.9707446720301066
none,ce,,0.1,5,0.0001,0.9668796343692062,0.9752825929648123,0.9743421641778668,jpeg_30,0.950652225105277,0.02368993907258976,0.9707509105470896
none,ce,,0.01,5,0.0001,0.9668873732890079,0.9752821404486255,0.974342164177867,jpeg_30,0.950671019624795,0.023671144553071954,0.9707540692898657
none,ce,,1.0,2,0.0001,0.9486898561555922,0.9659295019602322,0.9662649430249668,jpeg_30,0.9129769523912709,0.053287990633695936,0.9555705455448854
none,ce,,0.3,2,0.0001,0.9486511615565844,0.9658986064175755,0.9662505707453354,jpeg_30,0.9129747412713277,0.05327582947400766,0.9555375366828747
none,ce,,0.1,2,0.0001,0.9486434226367828,0.9658905290036404,0.9662373040256756,jpeg_30,0.9129758468312993,0.05326145719437636,0.9555271128317135
none,ce,,0.01,2,0.0001,0.9486445281967544,0.9658874292677605,0.9662395151456189,jpeg_30,0.9129714245914126,0.05326809055420634,0.955523322340382
none,ce,,1.0,1,0.0001,0.9304304276637638,0.9588901488447917,0.9605668869310651,jpeg_30,0.8832119612744452,0.07735492565661983,0.9411996083790706
none,ce,,0.3,1,0.0001,0.9303607773855498,0.9588407340771885,0.9605248756521423,jpeg_30,0.8831577888358343,0.077367086816308,0.9411393553606153
none,ce,,0.1,1,0.0001,0.9303419828660316,0.958827339598058,0.9605204534122557,jpeg_30,0.8831434165562028,0.0773770368560529,0.9411213110425068
none,ce,,0.01,1,0.0001,0.9303287161463718,0.9588215134521523,0.960519347852284,jpeg_30,0.8831423109962311,0.0773770368560529,0.9411142433555452
