arm,backbone,params_B,clean_auc,clean_auc_alt_real,mean_degraded_auc,worst,worst_auc,max_delta
baseline_clip_vitl14_sidonly,openai/clip-vit-large-patch14,0.303,0.9753493293120432,0.9835034377387318,0.9814232757963073,jpeg@70,0.9732034374070639,0.002145891904979269
frozen_siglip2_giant,google/siglip2-giant-opt-patch16-384,1.164,0.9214455417741363,0.9484048892284185,0.8842460152065037,resize@0.25,0.8096546341204552,0.11179090765368105
frozen_siglip2_giant_sidonly,google/siglip2-giant-opt-patch16-384,1.164,0.9913213542225205,0.9933246753246755,0.9927143597868039,crop@0.8,0.9894728579499159,0.0018484962726046383
frozen_siglip2_giant_gan,google/siglip2-giant-opt-patch16-384,1.164,0.9137220998121653,0.9312994652406418,0.8305376748778711,resize@0.25,0.6530631197354616,0.26065898007670374
frozen_siglip2_giant_mjv5,google/siglip2-giant-opt-patch16-384,1.164,0.9993853086557607,0.9995653170359052,0.9995113424925292,noise@0.02,0.9991221853825072,0.00026312327325350715
